Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 1 [0.0->0.00390625]	0:17	0:18	0:19	0:21	0:22
Bucket 2 [0.00390625->0.0078125]	0:10	0:11	0:12	0:13	0:14
Bucket 3 [0.0078125->0.01171875]	0:3	0:4	0:5	0:6	0:7
Bucket 4 [0.01171875->0.015625]	0:1	0:2	0:2095	1:2095	1:2727
Bucket 5 [0.015625->0.01953125]	0:3075	0:3464	0:3466	1:3075	1:3464
Bucket 6 [0.01953125->0.0234375]	0:1511	2:3075	5:1511	158:181	158:184
Bucket 7 [0.0234375->0.02734375]	1:1511	2:1511	3:1511	117:130	141:145
Bucket 8 [0.02734375->0.03125]	12:14	13:14	130:165	130:182	130:192
Bucket 9 [0.03125->0.03515625]	130:175	130:200	130:209	130:236	130:242
Bucket 10 [0.03515625->0.0390625]	1:3	2:3	150:226	153:200	153:209
Bucket 11 [0.0390625->0.04296875]	10:11	153:236	153:242	154:181	154:199
Bucket 12 [0.04296875->0.046875]	130:153	154:184	154:186	245:256	255:257
Bucket 13 [0.046875->0.05078125]	311:415	328:415	328:434	343:415	350:415
Bucket 14 [0.05078125->0.0546875]	156:173	156:185	156:195	159:187	190:206
Bucket 15 [0.0546875->0.05859375]	12:13	159:178	159:193	215:223	235:247
Bucket 16 [0.05859375->0.0625]	177:188	216:223	583:1544	596:785	596:819
Bucket 17 [0.0625->0.06640625]	6:8	7:8	73:83	76:84	181:184
Bucket 18 [0.06640625->0.0703125]	72:80	181:186	247:257	581:1544	581:1563
Bucket 19 [0.0703125->0.07421875]	6:7	175:182	181:199	581:1069	621:783
Bucket 20 [0.07421875->0.078125]	79:87	184:186	364:368	581:1297	582:1069
Bucket 21 [0.078125->0.08203125]	114:120	184:199	215:217	583:1069	629:1464
Bucket 22 [0.08203125->0.0859375]	216:217	217:223	820:1464	820:2945	820:2967
Bucket 23 [0.0859375->0.08984375]	215:216	352:413	357:413	372:413	393:413
Bucket 24 [0.08984375->0.09375]	1:2	182:192	186:199	311:413	350:413
Bucket 25 [0.09375->0.09765625]	173:185	185:195	328:413	343:413	350:372
Bucket 26 [0.09765625->0.1015625]	178:187	343:426	343:427	350:355	353:426
Bucket 27 [0.1015625->0.10546875]	187:193	311:426	311:427	343:350	350:352
Bucket 28 [0.10546875->0.109375]	311:350	350:393	350:395	597:1097	739:836
Bucket 29 [0.109375->0.11328125]	176:202	178:193	328:372	363:372	393:426
Bucket 30 [0.11328125->0.1171875]	311:328	311:363	328:355	337:364	355:363
Bucket 31 [0.1171875->0.12109375]	175:192	328:343	328:352	328:353	328:357
Bucket 32 [0.12109375->0.125]	343:363	352:363	353:363	357:363	581:1113
Bucket 33 [0.125->0.12890625]	363:393	363:395	363:396	640:668	782:829
Bucket 34 [0.12890625->0.1328125]	316:375	316:416	317:375	317:416	376:383
