Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 328 [0.638671875->0.640625]	211:244	218:225	755:757	1709:1824	1718:1977
Bucket 329 [0.640625->0.642578125]	582:1240	636:735	665:741	1309:1543	1630:1815
Bucket 330 [0.642578125->0.64453125]	218:227	613:635	618:635	711:832	743:832
Bucket 331 [0.64453125->0.646484375]	281:291	618:622	656:735	707:735	745:1509
Bucket 332 [0.646484375->0.6484375]	376:536	619:627	675:735	712:735	772:832
Bucket 333 [0.6484375->0.650390625]	383:420	607:626	636:765	646:735	671:735
Bucket 334 [0.650390625->0.65234375]	615:625	618:627	636:740	636:766	656:765
Bucket 335 [0.65234375->0.654296875]	656:740	656:766	776:832	1363:1543	1629:1783
Bucket 336 [0.654296875->0.65625]	527:540	593:669	595:1294	646:765	676:832
Bucket 337 [0.65625->0.658203125]	616:624	616:627	646:766	707:765	707:766
Bucket 338 [0.658203125->0.66015625]	225:227	423:536	572:669	593:594	596:741
Bucket 339 [0.66015625->0.662109375]	646:740	671:765	671:766	673:765	673:766
Bucket 340 [0.662109375->0.6640625]	536:540	595:1431	595:1666	671:740	673:740
Bucket 341 [0.6640625->0.666015625]	568:593	622:635	1401:1427	1401:1428	1635:1928
Bucket 342 [0.666015625->0.66796875]	568:572	572:594	608:631	735:740	745:1240
Bucket 343 [0.66796875->0.669921875]	562:764	1630:1824	1738:1778	1740:1816	2062:2234
Bucket 344 [0.669921875->0.671875]	343:352	343:357	704:983	1088:1399	1310:1614
Bucket 345 [0.671875->0.673828125]	798:822	798:823	1319:1339	1345:1434	1520:1575
Bucket 346 [0.673828125->0.67578125]	1214:1248	1214:1251	1629:1652	1703:1726	1754:1935
Bucket 347 [0.67578125->0.677734375]	343:353	1294:1434	1738:1764	1744:1815	2323:3287
Bucket 348 [0.677734375->0.6796875]	562:716	1284:1434	1294:1345	2062:3194	2202:2984
Bucket 349 [0.6796875->0.681640625]	342:359	342:361	342:362	568:669	1319:1414
Bucket 350 [0.681640625->0.68359375]	1284:1294	1319:1413	1319:1415	1319:1417	1319:1419
Bucket 351 [0.68359375->0.685546875]	594:669	619:631	1046:1047	1294:1431	1401:1534
Bucket 352 [0.685546875->0.6875]	342:377	429:536	1431:1614	1899:2029	2212:2921
Bucket 353 [0.6875->0.689453125]	318:331	568:594	786:832	1046:1064	1628:1644
Bucket 354 [0.689453125->0.69140625]	781:832	1019:1046	1225:1347	1226:1347	1431:1434
Bucket 355 [0.69140625->0.693359375]	528:539	598:613	618:631	1046:1071	1226:1346
Bucket 356 [0.693359375->0.6953125]	1225:1346	1226:1336	1294:1310	1434:1666	1591:1610
Bucket 357 [0.6953125->0.697265625]	896:981	1225:1265	1225:1336	1225:1585	1226:1265
Bucket 358 [0.697265625->0.69921875]	590:1523	591:1523	1225:1269	1520:1572	1658:1815
Bucket 359 [0.69921875->0.701171875]	525:539	780:832	1041:1046	1046:1061	1226:1300
Bucket 360 [0.701171875->0.703125]	565:566	1046:1085	1225:1300	1251:1347	1556:1644
Bucket 361 [0.703125->0.705078125]	359:384	361:384	362:384	855:1127	1046:1060
Bucket 362 [0.705078125->0.70703125]	433:540	540:544	608:627	625:627	773:781
Bucket 363 [0.70703125->0.708984375]	680:764	695:764	773:786	896:1021	1213:1336
Bucket 364 [0.708984375->0.7109375]	318:335	697:764	945:1127	1213:1585	1225:1558
Bucket 365 [0.7109375->0.712890625]	328:363	773:780	1287:1496	1653:1744	2063:2682
Bucket 366 [0.712890625->0.71484375]	608:625	680:716	695:716	697:716	1019:1085
Bucket 367 [0.71484375->0.716796875]	896:991	1041:1047	1061:1064	1309:1339	1428:1503
Bucket 368 [0.716796875->0.71875]	527:544	590:1377	591:1377	774:780	1060:1071
Bucket 369 [0.71875->0.720703125]	625:631	1019:1071	1041:1064	1041:1085	1061:1071
Bucket 370 [0.720703125->0.72265625]	676:780	677:780	896:899	896:902	896:903
Bucket 371 [0.72265625->0.724609375]	896:917	896:920	896:921	896:922	896:923
Bucket 372 [0.724609375->0.7265625]	747:780	776:780	1226:1390	1226:1392	1320:1509
Bucket 373 [0.7265625->0.728515625]	743:780	774:781	840:896	841:896	842:896
Bucket 374 [0.728515625->0.73046875]	352:353	598:622	711:780	742:780	774:786
Bucket 375 [0.73046875->0.732421875]	353:357	528:542	748:780	771:780	772:780
Bucket 376 [0.732421875->0.734375]	562:680	595:1345	838:896	847:896	1041:1060
Bucket 377 [0.734375->0.736328125]	562:695	562:697	846:896	848:896	1041:1061
Bucket 378 [0.736328125->0.73828125]	773:835	1060:1085	1225:1238	1226:1238	1226:1262
Bucket 379 [0.73828125->0.740234375]	676:786	677:786	812:1070	896:938	1213:1390
Bucket 380 [0.740234375->0.7421875]	423:542	581:760	743:786	1225:1259	1225:1273
Bucket 381 [0.7421875->0.744140625]	676:781	677:781	742:786	743:781	747:786
Bucket 382 [0.744140625->0.74609375]	711:781	711:786	772:781	772:786	896:965
Bucket 383 [0.74609375->0.748046875]	595:1284	742:781	747:781	748:781	748:786
Bucket 384 [0.748046875->0.75]	771:781	1213:1355	1225:1263	1226:1263	1232:1323
Bucket 385 [0.75->0.751953125]	893:896	894:896	895:896	1214:1390	1214:1392
Bucket 386 [0.751953125->0.75390625]	838:1021	965:981	969:981	971:981	972:981
Bucket 387 [0.75390625->0.755859375]	595:1310	966:981	967:981	968:981	970:981
Bucket 388 [0.755859375->0.7578125]	1214:1350	1238:1248	1238:1251	1240:1509	1248:1275
Bucket 389 [0.7578125->0.759765625]	893:981	894:981	896:931	896:934	896:935
Bucket 390 [0.759765625->0.76171875]	342:384	598:624	895:981	896:937	896:940
Bucket 391 [0.76171875->0.763671875]	785:819	838:981	858:896	861:896	868:896
Bucket 392 [0.763671875->0.765625]	871:896	934:981	935:981	941:981	947:981
Bucket 393 [0.765625->0.767578125]	596:1333	838:899	838:907	857:896	857:981
Bucket 394 [0.767578125->0.76953125]	425:535	838:902	838:903	838:904	838:905
Bucket 395 [0.76953125->0.771484375]	423:528	598:635	893:1021	977:1021	978:1021
Bucket 396 [0.771484375->0.7734375]	838:840	838:844	838:845	838:850	838:851
Bucket 397 [0.7734375->0.775390625]	533:544	596:1295	903:1043	904:1043	905:1043
Bucket 398 [0.775390625->0.77734375]	838:847	899:1040	903:1040	904:1040	905:1040
Bucket 399 [0.77734375->0.779296875]	433:533	832:839	838:841	838:917	838:921
Bucket 400 [0.779296875->0.78125]	359:377	361:377	362:377	838:843	840:938
Bucket 401 [0.78125->0.783203125]	773:790	840:1040	844:1040	845:1040	847:938
Bucket 402 [0.783203125->0.78515625]	774:835	774:839	838:901	841:938	842:1043
Bucket 403 [0.78515625->0.787109375]	665:1333	840:965	840:971	840:972	840:973
Bucket 404 [0.787109375->0.7890625]	743:835	838:1043	840:966	840:967	840:968
Bucket 405 [0.7890625->0.791015625]	423:539	711:835	772:835	838:1045	843:1040
Bucket 406 [0.791015625->0.79296875]	743:839	790:835	840:977	840:978	841:969
Bucket 407 [0.79296875->0.794921875]	711:839	774:927	838:900	840:893	840:894
Bucket 408 [0.794921875->0.796875]	582:745	676:835	677:835	772:839	774:930
Bucket 409 [0.796875->0.798828125]	375:416	711:927	743:927	840:934	840:935
Bucket 410 [0.798828125->0.80078125]	624:635	665:1295	711:930	743:930	776:835
Bucket 411 [0.80078125->0.802734375]	310:317	375:545	572:593	676:839	677:839
Bucket 412 [0.802734375->0.8046875]	310:316	742:835	747:835	748:835	790:927
Bucket 413 [0.8046875->0.806640625]	676:927	677:927	677:930	742:839	747:839
Bucket 414 [0.806640625->0.80859375]	423:525	676:930	776:927	838:849	838:881
Bucket 415 [0.80859375->0.810546875]	748:839	771:839	776:930	838:864	838:872
Bucket 416 [0.810546875->0.8125]	747:927	774:790	838:879	838:884	838:929
Bucket 417 [0.8125->0.814453125]	747:930	748:927	748:930	842:971	842:972
Bucket 418 [0.814453125->0.81640625]	525:542	742:927	742:930	771:927	771:930
Bucket 419 [0.81640625->0.818359375]	842:966	842:967	842:970	843:891	843:928
Bucket 420 [0.818359375->0.8203125]	627:631	838:846	838:991	842:893	842:894
Bucket 421 [0.8203125->0.822265625]	375:424	421:535	842:1040	843:929	857:1045
Bucket 422 [0.822265625->0.82421875]	842:895	849:965	849:969	849:971	849:972
Bucket 423 [0.82421875->0.826171875]	842:942	842:943	842:944	846:938	849:966
Bucket 424 [0.826171875->0.828125]	842:948	842:950	842:952	849:893	849:894
Bucket 425 [0.828125->0.830078125]	776:790	780:927	780:930	842:937	842:940
Bucket 426 [0.830078125->0.83203125]	676:790	677:790	842:857	842:859	842:860
Bucket 427 [0.83203125->0.833984375]	773:774	780:835	842:863	842:939	842:959
Bucket 428 [0.833984375->0.8359375]	416:545	711:790	743:773	743:790	747:790
Bucket 429 [0.8359375->0.837890625]	711:773	742:790	748:790	840:991	842:861
Bucket 430 [0.837890625->0.83984375]	409:530	676:773	677:773	771:790	772:790
Bucket 431 [0.83984375->0.841796875]	842:885	842:890	846:893	846:894	846:895
Bucket 432 [0.841796875->0.84375]	416:424	772:773	773:776	838:848	849:861
Bucket 433 [0.84375->0.845703125]	786:927	786:930	844:991	845:991	846:942
Bucket 434 [0.845703125->0.84765625]	655:698	742:773	747:773	781:927	781:930
Bucket 435 [0.84765625->0.849609375]	533:540	539:542	650:698	847:991	849:890
Bucket 436 [0.849609375->0.8515625]	530:567	645:647	662:698	748:773	771:773
Bucket 437 [0.8515625->0.853515625]	440:530	441:530	443:530	444:530	445:530
Bucket 438 [0.853515625->0.85546875]	453:530	460:530	480:530	649:698	846:868
Bucket 439 [0.85546875->0.857421875]	457:530	846:858	846:861	846:870	846:892
Bucket 440 [0.857421875->0.859375]	439:530	449:530	470:530	471:530	477:530
Bucket 441 [0.859375->0.861328125]	451:530	456:530	463:530	467:530	473:530
Bucket 442 [0.861328125->0.86328125]	654:698	655:659	786:790	846:871	846:885
Bucket 443 [0.86328125->0.865234375]	650:659	749:753	781:790	781:839	838:1040
Bucket 444 [0.865234375->0.8671875]	648:659	842:991	848:901	848:1021	874:896
Bucket 445 [0.8671875->0.869140625]	524:530	780:839	896:955	900:953	900:955
Bucket 446 [0.869140625->0.87109375]	649:659	654:659	655:661	897:900	899:900
Bucket 447 [0.87109375->0.873046875]	648:661	650:661	659:663	848:942	848:943
Bucket 448 [0.873046875->0.875]	659:662	848:948	848:952	878:900	882:900
Bucket 449 [0.875->0.876953125]	649:661	654:661	659:698	840:900	848:899
Bucket 450 [0.876953125->0.87890625]	655:657	655:660	661:663	848:857	848:859
Bucket 451 [0.87890625->0.880859375]	421:425	650:657	659:660	660:662	661:662
Bucket 452 [0.880859375->0.8828125]	297:304	650:660	657:659	657:662	667:788
Bucket 453 [0.8828125->0.884765625]	657:698	660:698	840:848	844:900	845:900
Bucket 454 [0.884765625->0.88671875]	525:528	667:804	848:917	848:921	848:922
Bucket 455 [0.88671875->0.888671875]	295:304	301:304	377:384	648:657	648:660
Bucket 456 [0.888671875->0.890625]	654:657	654:660	667:815	838:871	838:944
Bucket 457 [0.890625->0.892578125]	424:545	649:657	649:660	654:655	660:663
Bucket 458 [0.892578125->0.89453125]	650:654	654:662	657:663	661:698	667:799
Bucket 459 [0.89453125->0.896484375]	667:805	667:809	711:774	838:867	838:931
Bucket 460 [0.896484375->0.8984375]	648:654	667:792	667:800	677:774	838:865
Bucket 461 [0.8984375->0.900390625]	667:789	667:791	667:795	676:774	848:885
Bucket 462 [0.900390625->0.90234375]	649:654	654:663	667:784	706:739	772:774
Bucket 463 [0.90234375->0.904296875]	659:661	774:776	846:901	846:1021	858:966
Bucket 464 [0.904296875->0.90625]	747:774	838:966	838:967	838:970	857:894
Bucket 465 [0.90625->0.908203125]	657:661	660:661	857:893	857:895	858:893
Bucket 466 [0.908203125->0.91015625]	655:662	742:774	842:981	858:895	861:895
Bucket 467 [0.91015625->0.912109375]	650:662	748:774	771:774	838:893	838:894
Bucket 468 [0.912109375->0.9140625]	846:899	846:903	846:904	846:905	846:907
Bucket 469 [0.9140625->0.916015625]	838:969	846:902	846:906	949:1040	1260:1558
Bucket 470 [0.916015625->0.91796875]	648:662	838:968	842:901	849:1021	952:1040
Bucket 471 [0.91796875->0.919921875]	840:846	846:851	849:901	857:1040	860:1040
Bucket 472 [0.919921875->0.921875]	649:662	841:846	928:1043	932:1043	1230:1546
Bucket 473 [0.921875->0.923828125]	662:663	846:917	846:921	846:923	846:924
Bucket 474 [0.923828125->0.92578125]	235:239	235:240	842:848	842:1021	846:922
Bucket 475 [0.92578125->0.927734375]	849:899	849:907	849:908	849:911	849:914
Bucket 476 [0.927734375->0.9296875]	846:853	846:854	849:902	849:903	849:904
Bucket 477 [0.9296875->0.931640625]	844:846	845:846	846:850	848:849	899:981
Bucket 478 [0.931640625->0.93359375]	843:846	843:981	846:847	849:851	897:956
Bucket 479 [0.93359375->0.935546875]	648:655	840:849	842:899	842:907	842:908
Bucket 480 [0.935546875->0.9375]	648:650	649:655	839:927	842:902	842:903
Bucket 481 [0.9375->0.939453125]	839:930	840:981	842:843	842:906	849:917
Bucket 482 [0.939453125->0.94140625]	649:650	655:663	842:846	843:849	864:897
Bucket 483 [0.94140625->0.943359375]	650:663	835:839	840:842	841:849	842:851
Bucket 484 [0.943359375->0.9453125]	656:707	840:901	841:981	849:853	849:854
Bucket 485 [0.9453125->0.947265625]	656:712	841:901	842:917	842:921	842:922
Bucket 486 [0.947265625->0.94921875]	842:847	843:1021	847:849	857:871	857:889
Bucket 487 [0.94921875->0.951171875]	636:707	646:656	846:848	857:858	857:861
Bucket 488 [0.951171875->0.953125]	636:712	675:707	842:853	842:854	845:981
Bucket 489 [0.953125->0.955078125]	636:675	675:712	718:721	721:722	721:726
Bucket 490 [0.955078125->0.95703125]	636:646	714:721	715:721	717:721	719:721
Bucket 491 [0.95703125->0.958984375]	570:668	573:668	646:675	648:649	648:663
Bucket 492 [0.958984375->0.9609375]	409:524	531:537	676:743	677:743	677:772
Bucket 493 [0.9609375->0.962890625]	676:711	676:772	677:711	718:722	718:731
Bucket 494 [0.962890625->0.96484375]	649:663	714:718	714:729	714:730	714:734
Bucket 495 [0.96484375->0.966796875]	129:137	646:707	714:726	714:728	714:736
Bucket 496 [0.966796875->0.96875]	596:665	656:673	677:776	711:776	715:722
Bucket 497 [0.96875->0.970703125]	646:712	656:671	676:776	714:722	714:731
Bucket 498 [0.970703125->0.97265625]	409:457	524:567	636:673	671:707	673:707
Bucket 499 [0.97265625->0.974609375]	129:136	409:477	440:524	441:524	443:524
Bucket 500 [0.974609375->0.9765625]	385:406	409:439	409:449	409:451	409:456
Bucket 501 [0.9765625->0.978515625]	457:524	646:673	650:655	671:675	676:748
Bucket 502 [0.978515625->0.98046875]	386:391	409:475	409:483	477:524	646:671
Bucket 503 [0.98046875->0.982421875]	136:137	387:398	387:400	387:401	388:400
Bucket 504 [0.982421875->0.984375]	123:124	295:301	386:390	388:398	389:398
Bucket 505 [0.984375->0.986328125]	390:391	409:440	409:443	409:445	409:446
Bucket 506 [0.986328125->0.98828125]	297:301	439:567	440:477	441:457	444:457
Bucket 507 [0.98828125->0.990234375]	149:152	295:297	439:440	439:443	439:444
Bucket 508 [0.990234375->0.9921875]	248:249	249:250	439:441	439:448	439:453
Bucket 509 [0.9921875->0.994140625]	393:395	393:396	440:475	440:483	441:475
Bucket 510 [0.994140625->0.99609375]	92:93	316:317	359:361	361:362	439:457
Bucket 511 [0.99609375->0.998046875]	352:357	395:396	439:471	439:477	440:441
Bucket 512 [0.998046875->1.0]	90:91	239:240	248:250	359:362	387:388
Bucket 512 [1.]	630:632	921:923	934:935	1165:1166	1209:1210
